Token          Lexeme
---------------------
separator      $
keyword        function
identifier     convertx
separator      (
identifier     fahr
keyword        integer
separator      )
separator      {
keyword        return
integer        5
operator       *
separator      (
identifier     fahr
operator       -
integer        3
integer        2
separator      )
operator       /
integer        9
separator      ;
separator      }
separator      $
keyword        integer
identifier     low
separator      ,
identifier     high
separator      ,
identifier     step
separator      ;
separator      $
keyword        scan
separator      (
identifier     low
separator      ,
identifier     high
separator      ,
identifier     step
separator      )
separator      ;
keyword        while
separator      (
identifier     low
operator       <=
identifier     high
separator      )
separator      {
keyword        print
separator      (
identifier     low
separator      )
separator      ;
keyword        print
separator      (
identifier     convertx
separator      (
identifier     low
separator      )
separator      )
separator      ;
identifier     low
operator       =
identifier     low
operator       +
identifier     step
separator      ;
separator      }
keyword        endwhile
separator      $
